qa_id,question_type,question,answer,Relevance,Accuracy,Completeness,Fluency,KG_Alignment,Overall_Score
inferential_oneshot_10-when-checking-the-withdrawa-p57-143-908f4576_1752237497_7c9c5820,inferential,What implications does the requirement for retaining evidence of intention to return have for students with mental ill-health or other legitimate reasons for erratic attendance?,"The requirement for retaining evidence of an intention to return allows these students not to be prematurely withdrawn from their courses within the usual timescales. It provides a safeguard that recognizes their unique circumstances, ensuring they have the opportunity to continue their education once they are able to return. This approach reflects a broader institutional commitment to inclusivity and support for all students, especially those facing challenges that impact their ability to attend regularly.",5,5,4,5,5,4.8
factual_oneshot_105-work-experience-and-other-p32-72-120636e2_1752237514_48fd43a0,factual,In what forms must work experience be documented for it to be recognized in Individualised Learner Record data returns?,"Work experience must be documented as non-qualification activity and identified using the work placement entity for Individualised Learner Records, or by using work experience learning aim references for school census.",5,5,4,5,5,4.8
factual_oneshot_105-work-experience-and-other-p32-72-120636e2_1752237515_d22ee2fb,factual,Why must institutions provide evidence of support for work experience conducted outside normal working hours?,"Institutions must provide evidence of support for work experience conducted outside normal working hours to ensure students gain realistic experience of their chosen industry, and they are legally required to have documentation justifying such arrangements.",5,5,5,5,5,5.0
relationship_oneshot_105-work-experience-and-other-p32-72-120636e2_1752237525_f6ce81eb,relationship,How do providers assist in the delivery of work experience aimed at job-related skills development?,"Providers play a critical role in assisting with work experience by planning, organizing, and supervising activities that are designed to secure experience and develop specialist skills beneficial for students' future employment or study goals. This assistance ensures that work experiences are not only relevant but also recorded correctly as non-qualification activities in Individualised Learner Record data returns or school census using the appropriate learning aim references.",5,5,4,5,5,4.8
relationship_oneshot_105-work-experience-and-other-p32-72-120636e2_1752237537_8626593d,relationship,How does a provider ensure that work experience counts as a non-qualification activity for students?,"A provider ensures that work experience counts as a non-qualification activity by planning, organizing, and supervising the work experience. This must then be recorded in the Individualised Learner Record data returns using the work placement entity or in the school census using the work experience learning aim references.",5,5,4,5,5,4.8
comparative_oneshot_105-work-experience-and-other-p32-72-120636e2_1752237549_f95d4d1a,comparative,How does the documentation requirement for work experience differ between individualized learner records and the school census?,"For documenting work experience, individualized learner records need specific details about non-qualification activities including work experience, using the work placement entity. In contrast, the school census requires the use of work experience learning aim references to record work-related learning or activities. This implies that while both systems necessitate documentation of work experience, the individualized learner records focus on categorizing such experiences as non-qualification activities with specific entities, whereas the school census utilizes learning aim references for recording purposes.",5,4,4,5,4,4.4
comparative_oneshot_105-work-experience-and-other-p32-72-120636e2_1752237549_f101a239,comparative,In what ways do requirements for providing support during work experience differ between activities during normal working hours and those outside normal working hours?,"Support provided during work experience within normal working hours is generally expected as part of the institution's duty to ensure meaningful job-related skills development. However, for work experience planned outside of normal working hours, institutions have a legal duty to provide evidence of support given to students. This includes having to document and retain justification for why delivering work experience out of normal working hours is necessary for giving students realistic experience of their chosen industry. The difference primarily lies in the additional requirement for out-of-hours support to be documented and justified based on the necessity for realism in industry experience.",5,4,4,5,5,4.6
inferential_oneshot_105-work-experience-and-other-p32-72-120636e2_1752237568_605f21b8,inferential,How does planned work experience outside normal working hours contribute to a student's future employment or study goals?,"Planned work experience outside normal working hours contributes to a student's future employment or study goals by providing them with practical, job-related skills and a more authentic understanding of their chosen industry's demands. This hands-on learning approach helps in bridging the gap between theoretical knowledge acquired through formal education and real-world applications, enhancing their employability and readiness for further study in specialized fields.",5,4,4,5,4,4.4
inferential_oneshot_105-work-experience-and-other-p32-72-120636e2_1752237594_cc8ffbe5,inferential,What implications does having work experience identified in Individualised Learner Record data or school census as non-qualification activity have for institutions?,"Identifying work experience in Individualised Learner Record data or the school census as non-qualification activity has significant implications for institutions by ensuring that such experiences are officially recognized within educational frameworks. This official recognition not only legitimizes the work-related learning activities but also enables institutions to demonstrate compliance with educational standards and requirements for providing job-related skills development. It underscores the value placed on hands-on, practical learning experiences that contribute directly to student employability and future career success.",4,4,3,5,4,4.0
factual_oneshot_107-many-students-will-look-fo-p32-73-af395152_1752237608_e6f3ecc2,factual,From what date is prior approval required from the ESFA for including independent work experience or part-time work in recorded planned hours?,Prior approval is required from the ESFA from 1 December 2021 for including independent work experience or part-time work in recorded planned hours.,5,5,5,5,5,5.0
factual_oneshot_107-many-students-will-look-fo-p32-73-af395152_1752237608_565a8939,factual,What type of activities cannot usually be recorded as fundable planned EEP hours?,Neither paid employment nor work experience where the student is being paid a 'look-a-like' weekly allowance to attend the work experience can usually be recorded as fundable planned EEP hours.,5,5,5,5,5,5.0
relationship_oneshot_107-many-students-will-look-fo-p32-73-af395152_1752237622_51e230b1,relationship,Why can't T Level industry placement hours be included in non-qualification hours for ESFA's fundable planned EEP hours?,"T Level industry placement hours cannot be included in non-qualification hours for ESFA's fundable planned EEP hours because they are specifically excluded from being counted. These industry placements are designed to provide significant workplace experience as part of T Levels, but for funding purposes, their hours are not allowed to be part of the non-qualification hours that contribute to fundable planned EEP hours.",5,5,5,5,5,5.0
relationship_oneshot_107-many-students-will-look-fo-p32-73-af395152_1752237644_828a2f17,relationship,Why are T Level industry placement hours excluded from non-qualification hours in a study programme?,"T Level industry placement hours are excluded from non-qualification hours because they do not meet the criteria for fundable planned EEP (Education Employment Placement) hours within a study programme, adhering to specific guidelines set by governing bodies on what constitutes eligible educational activities.",5,5,5,5,5,5.0
comparative_oneshot_107-many-students-will-look-fo-p32-73-af395152_1752237662_2c2d02e1,comparative,What are the differences in ESFA's requirements for funding eligibility between independent work experience and part-time work versus T Level industry placements?,"While independent work experience and part-time work are not funded by study programmes and cannot usually be counted as fundable planned Education, Employment, and Training (EET) hours without prior approval from ESFA, T Level industry placements are distinguished by a specific requirement that their hours must not be included in non-qualification hours. This distinction highlights that although both sets of activities provide valuable experience for students, T Level industry placements have a structured role within study programmes, whereas independent work experience and part-time work require prior approval from ESFA to be considered for inclusion in recorded planned hours.",5,4,4,5,4,4.4
comparative_oneshot_107-many-students-will-look-fo-p32-73-af395152_1752237663_342651bf,comparative,How does the planning and organization of virtual or distance learning activities compare with the treatment of externally certificated qualifications not approved for funding within study programmes?,"Virtual or distance learning elements of a study programme must be planned, timetabled, and organized by the institution to ensure they meet educational standards and are integral parts of the curriculum. In contrast, time spent on externally certificated qualifications that are not approved for funding must not be included in non-qualification hours. This indicates a clear distinction in how these activities are treated: virtual or distance learning is actively structured into the curriculum by institutions, whereas externally certificated qualifications lacking ESFA funding approval are excluded from being counted towards the educational programme.",5,5,5,5,5,5.0
inferential_oneshot_107-many-students-will-look-fo-p32-73-af395152_1752237671_478b206a,inferential,"Why is it necessary for institutions to plan, timetable, and organize virtual or distance learning elements of the study programme?","It is necessary for institutions to plan, timetable, and organize virtual or distance learning elements of the study programme to ensure that such activities meet ESFA's requirements for structured and accountable educational delivery. This planning process allows the institution to demonstrate that they are providing a coherent and comprehensive educational experience that aligns with ESFA's standards for funding eligibility.",5,4,4,5,5,4.6
inferential_oneshot_107-many-students-will-look-fo-p32-73-af395152_1752237672_ca3be0ab,inferential,What implications does the restriction on including paid employment or 'look-a-like' work experience in fundable planned EEP hours have for students seeking to integrate work experience into their study programmes?,"The restriction implies that students who engage in paid employment or receive a 'look-a-like' weekly allowance for work experience cannot count these hours towards their fundable planned Education Employment Placement (EEP) hours. This effectively separates traditional employment and certain types of work experience from educational funding considerations, necessitating that students seek other forms of work experience that comply with ESFA's definitions of eligible activities if they wish to have them included as part of their funded study time.",5,5,4,5,5,4.8
factual_oneshot_110-non-qualification-hours-mu-p32-74-29010f83_1752237683_302cb361,factual,What components are explicitly excluded from the planned hours for a T Level programme?,"The planned hours for a T Level programme explicitly exclude industry placements, maths and English study, and additional qualifications that are not required for completion of the T Level.",5,5,5,5,5,5.0
factual_oneshot_110-non-qualification-hours-mu-p32-74-29010f83_1752237683_19d00c6f,factual,Which activities must not be counted as part of the study programme according to the guidelines on non-qualification hours?,"Homework, independent study/research that is not timetabled, voluntary extracurricular activities, and clubs that operate during breaks or outside the institution's normal working day must not be counted as part of the study programme.",5,5,5,5,5,5.0
relationship_oneshot_110-non-qualification-hours-mu-p32-74-29010f83_1752237693_44138a08,relationship,How do industry placements relate to the funding of T Level programmes?,"Industry placements for T Level programmes have a separate funding rate, indicating that they are funded differently from the main T Level programme. This separation highlights that while industry placements are a core part of T Level programmes, their funding is handled independently from the programme's other components.",5,5,5,5,5,5.0
relationship_oneshot_110-non-qualification-hours-mu-p32-74-29010f83_1752237715_26c73092,relationship,How does the funding structure differ for industry placements compared to maths and English studies in Level 3 programmes?,"Industry placements receive a separate funding rate, while maths and English study in Level 3 programmes receives an additional payment.",5,5,4,5,5,4.8
comparative_oneshot_110-non-qualification-hours-mu-p32-74-29010f83_1752237742_56c80144,comparative,How does the funding approach for maths and English studies in level 3 programmes compare with funding for AS and A levels taken in addition to a T Level?,"Maths and English studies in level 3 programmes receive additional payment specifically earmarked to support these fundamental subjects, whereas AS and A levels taken alongside a T Level benefit from the large programme uplift, which provides extra funding. The key difference lies in the purpose of the funding: additional payments for maths and English aim to reinforce essential skills across all disciplines, while the large programme uplift recognizes and supports the additional academic load and breadth that comes with studying AS and A levels concurrently with a T Level.",5,5,5,5,5,5.0
comparative_oneshot_110-non-qualification-hours-mu-p32-74-29010f83_1752237755_31fb961c,comparative,"In the context of T Level planned hours, how does the inclusion of EEP compare to other components like industry placements or maths and English study?","Within T Level planned hours, EEP (Education Employment Placement) is included as part of the curriculum, whereas industry placements, maths and English study, and additional qualifications that are not mandatory for completion of the T Level are excluded. This distinction highlights that EEP is considered an integral component of T Level's curriculum structure, directly contributing to the total planned hours. In contrast, industry placements and studies in maths and English, despite their importance, are funded separately and do not count towards the planned hours.",5,5,5,5,5,5.0
inferential_oneshot_110-non-qualification-hours-mu-p32-74-29010f83_1752237763_62e7717f,inferential,Why might a T Level student not need to concern themselves with additional funding for maths and English study within their programme?,A T Level student wouldn't need to worry about securing additional funding for maths and English study because the programme includes an additional payment for these subjects in level 3 programmes. This policy ensures that students can focus on their core T Level curriculum without the stress of funding these compulsory education components.,5,5,5,5,5,5.0
inferential_oneshot_110-non-qualification-hours-mu-p32-74-29010f83_1752237778_e0a9f169,inferential,What rationale might underpin not counting voluntary extracurricular activities and clubs as part of planned study hours within an educational programme?,"Not counting voluntary extracurricular activities and clubs as part of planned study hours within an educational programme stems from a desire to emphasize formal instruction and guided learning activities that directly align with curriculum goals. These activities are scheduled outside normal academic commitments, providing students with enrichment opportunities that enhance personal growth, leadership skills, and community engagement without impacting the structured learning time allocated for achieving specific educational outcomes. Additionally, by excluding these voluntary activities from planned hours, institutions can maintain a clear boundary between compulsory educational content and additional personal development opportunities, ensuring that funding is allocated efficiently towards activities that directly contribute to academic achievements. This distinction reflects an educational philosophy that values both academic rigor and holistic development while respecting the principles of financial accountability and curricular focus.",5,5,4,5,5,4.8
factual_oneshot_118-when-institutions-calculat-p33-76-f7538222_1752237787_7c3eb494,factual,What must institutions take into account when calculating average planned hours for student attendance?,"When calculating average planned hours, institutions must take into account students who complete early and those who finish later than average.",5,5,4,5,4,4.6
factual_oneshot_118-when-institutions-calculat-p33-76-f7538222_1752237796_daaf89a3,factual,Where can detailed guidance on changes to planned hours for institutions be found?,"Detailed guidance on changes to planned hours is documented in Annex C of the document, specifically from Q10 to Q14, and further detailed in the 'Funding rates and formula' document.",5,5,5,5,5,5.0
comparative_oneshot_118-when-institutions-calculat-p33-76-f7538222_1752237840_a0d3d1c0,comparative,What distinguishes the documentation of average planned hours in annex C from its detailing in the 'Funding rates and formula' document?,"Average planned hours are specifically documented in annex C with a focus on questions and answers (Q10 to Q14) regarding changes to planned hours, providing a concise and targeted reference for institutions. In contrast, the 'Funding rates and formula' document offers full guidance on average planned hours management, presenting a comprehensive outline that covers a broader range of topics related to funding calculations.",5,4,4,5,4,4.4
comparative_oneshot_118-when-institutions-calculat-p33-76-f7538222_1752237840_4ed4fd33,comparative,How do the impacts of students who complete early compare to those who finish later than average on the calculation of average planned hours?,"When calculating average planned hours, institutions must consider both students who complete their courses earlier than expected and those who finish later than the average completion time. The impact of students completing early could potentially lower the average planned hours by contributing fewer actual attendance hours. Conversely, those finishing later than average may increase the calculated average by adding more attendance hours than initially projected. Both scenarios are taken into account to ensure a balanced and accurate calculation of average planned hours.",5,4,4,5,4,4.4
inferential_oneshot_118-when-institutions-calculat-p33-76-f7538222_1752237852_19a3ac84,inferential,What is the significance of Annex C's Q10 to Q14 in understanding changes to planned hours for institutional funding?,"Annex C's Q10 to Q14 are critical for institutions as they provide specific guidance and clarifications on how changes to planned hours should be calculated, factoring in student attendance variations such as early completions and delayed finishes. This detailed guidance aids institutions in accurately applying the rules for calculating average planned hours, which is essential for ensuring that funding is appropriately allocated based on realistic attendance scenarios. Therefore, these questions help clarify potential uncertainties, allowing institutions to plan their funding requirements more effectively.",5,4,4,5,4,4.4
inferential_oneshot_118-when-institutions-calculat-p33-76-f7538222_1752237864_885c08dd,inferential,Why is it important for the documentation in Annex C and the Funding rates and formula document to include questions and answers on changes to planned hours?,"Including questions and answers on changes to planned hours in Annex C and the Funding rates and formula document is crucial for providing clarity and guidance to institutions on how to accurately calculate average planned hours. This information helps ensure that all institutions are adhering to consistent standards in planning and reporting hours, which in turn affects funding calculations and educational delivery quality.",5,4,4,5,4,4.4
factual_oneshot_119-when-institutions-recruit-p34-77-343bfd3e_1752237875_0e33395c,factual,Under what condition can institutions update the planned hours to include a larger qualification?,Institutions can update the planned hours to include a larger qualification when they are sure that the student will progress onto the larger qualification.,5,4,4,5,4,4.4
relationship_oneshot_119-when-institutions-recruit-p34-77-343bfd3e_1752237909_d4d5f4aa,relationship,How does an institution manage the transition of a student from a nested qualification to a larger qualification in terms of planned hours?,"An institution manages the transition of a student from a nested qualification to a larger qualification by initially planning only for the smaller or nested qualification's planned hours. Once the student is confirmed to progress onto the larger qualification, the institution updates the planned hours to include additional delivery for the larger qualification.",5,5,5,5,4,4.8
relationship_oneshot_119-when-institutions-recruit-p34-77-343bfd3e_1752237910_85255a50,relationship,What triggers an institution to update planned hours for a student's study programme?,An institution updates the planned hours for a student's study programme upon confirming that the student will progress from a short study or nested qualification onto a larger qualification after successful completion.,5,5,4,5,5,4.8
comparative_oneshot_119-when-institutions-recruit-p34-77-343bfd3e_1752237921_35f54126,comparative,What is the difference between managing planned hours for students immediately progressing to longer programmes versus those with a gap before their next programme?,"The management of planned hours does not differentiate between students who immediately progress to longer study programmes and those who have a gap before starting their next programme. In both cases, institutions initially plan and report only the hours for the initial short study programme or nested qualification. They may update these planned hours to reflect the longer programme's duration only when they are certain of the student's progression, regardless of any intervening gap.",5,5,5,5,5,5.0
comparative_oneshot_119-when-institutions-recruit-p34-77-343bfd3e_1752237931_5718d214,comparative,How do planned hours for nested qualifications compare to those updated for larger qualifications within short study programmes?,"Initially, the planned hours for a short study programme are set based on the nested or smaller qualification. If a student is expected to progress to a larger qualification after successful completion of the initial one, institutions update the planned hours to reflect the added delivery for the larger qualification. Therefore, while planned hours for nested qualifications represent initial commitment, updated planned hours for larger qualifications account for extended learning and progression.",5,5,4,5,4,4.6
inferential_oneshot_119-when-institutions-recruit-p34-77-343bfd3e_1752237955_01fe6f47,inferential,Why might an institution opt to initially enroll a student in a short study programme before progressing them to a larger qualification?,"An institution may prefer to start a student on a short study programme and then progress them to a larger qualification as a strategic approach to ensure the student's success in smaller, manageable units of study. This method allows the student to build confidence and foundational skills with the nested qualification, which is critical for their successful completion and readiness for the more demanding larger qualification. Furthermore, this staged progression enables institutions to tailor educational pathways that adapt to each student's learning pace and achievements, optimizing the individual's educational outcome.",5,4,4,5,4,4.4
factual_oneshot_12-an-institution-should-also-p58-144-5675e1bf_1752237978_413a3865,factual,What actions are institutions required to take to verify a student's ongoing participation in a program?,Institutions are required to check with students who have not provided an assignment by the due date and to contact students at regular intervals to ensure they are still following the program.,5,4,4,5,4,4.4
factual_oneshot_12-an-institution-should-also-p58-144-5675e1bf_1752237978_cd3fc011,factual,"According to the 'Principles of funding learning', what stance should institutions take towards student program completion?","Institutions should do everything they can to help students complete their programs, seeing early withdrawal as a last resort, according to the 'Principles of funding learning'.",5,5,5,5,5,5.0
relationship_oneshot_12-an-institution-should-also-p58-144-5675e1bf_1752237987_97ad17b3,relationship,How do institutions ensure that students are actively continuing in their programmes?,"Institutions actively ensure that students are continuing in their programmes by providing a planned timetable for the receipt of assignments and by checking with students who have not submitted an assignment on the due date. Furthermore, they contact students at regular intervals to verify their continued participation in the programme.",5,5,5,5,5,5.0
relationship_oneshot_12-an-institution-should-also-p58-144-5675e1bf_1752237998_c1ffd6f1,relationship,What responsibility do institutions have regarding subcontractors in the context of supporting student program completion?,"Institutions are responsible for verifying that subcontractors are implementing the guidance provided on ensuring student program completion. This entails checking that subcontractors follow best practices and guidance for helping students successfully complete their programmes, in line with the advice outlined in the 'Principles of funding learning'.",5,4,4,5,4,4.4
comparative_oneshot_12-an-institution-should-also-p58-144-5675e1bf_1752238013_38ea1b36,comparative,How does the approach to monitoring student progression compare between checking assignment submission and regular contact initiation?,"The approach to monitoring student progression through checking assignment submission involves institutions actively tracking whether students submit their work by the due dates, identifying those who might be falling behind or disengaging from the program. This method provides a direct measure of student engagement and academic progress. In contrast, initiating regular contact with students serves as a more general check on their overall well-being and continued participation in the program. It allows institutions to offer support or identify issues beyond academic performance that might affect a student's ability to continue. Hence, while both methods aim to ensure student progression, checking assignment submission focuses specifically on academic accountability, whereas regular contact prioritizes ongoing engagement and support.",5,4,4,5,4,4.4
comparative_oneshot_12-an-institution-should-also-p58-144-5675e1bf_1752238024_0b9fb977,comparative,What is the difference in the institutional responsibilities towards ensuring student's continuing enrollment and preventing early withdrawal?,"Institutions have a legal duty to ensure students' continuing enrollment, which involves active measures like monitoring assignment submissions and contacting students regularly. On the other hand, preventing early withdrawal requires institutions to support students through their programs and view withdrawal as a last resort. Both responsibilities aim at student retention but differ in their approaches: one is more about regular engagement and tracking, while the other emphasizes program completion support.",5,4,4,5,4,4.4
inferential_oneshot_12-an-institution-should-also-p58-144-5675e1bf_1752238038_9ee25eea,inferential,Why might institutions be advised against assuming that a student's silence indicates they are continuing the programme?,"Institutions are advised against assuming that a student's silence indicates continuation because active measures are required to confirm students' engagement and progress. This involves providing a planned timetable for assignments and checking in with students who do not submit work as expected. The underlying reason is to maintain accurate tracking of student progress and ensure that any issues preventing assignment submission or programme continuation are addressed promptly, thereby supporting the principle of doing everything possible to help students complete their programmes.",5,5,5,5,5,5.0
inferential_oneshot_12-an-institution-should-also-p58-144-5675e1bf_1752238054_0a4310b0,inferential,How does the approach of contacting students at regular intervals and not assuming continuation by silence impact the success of student program completion as outlined in the principles of funding learning?,"The approach of actively contacting students at regular intervals and avoiding the assumption that silence means continuation is designed to ensure that students are engaged and still participating in their programmes. This proactive engagement helps identify any issues or challenges students may face early on, enabling institutions to provide necessary support or interventions. As a result, this practice directly supports the principles of funding learning's guidance on doing everything possible to help students complete their programmes, thereby increasing the likelihood of successful program completion. It positions early withdrawal as a last resort by maintaining open lines of communication and facilitating timely assistance.",5,5,5,5,5,5.0
factual_oneshot_12-if-a-16-to-19-funding-stude-p63-157-0ff01d4d_1752238067_e9ef2db9,factual,What grades must a 16 to 19 funding student achieve in their General Certificate of Secondary Education to meet the condition of funding for their study programme?,"A 16 to 19 funding student must achieve a grade ranging from 9 to 4 or A* to C, or a qualification deemed equivalent, to meet the condition of funding for their study programme.",5,5,5,5,5,5.0
factual_oneshot_12-if-a-16-to-19-funding-stude-p63-157-0ff01d4d_1752238067_10a42918,factual,What will happen to institutions with students who do not meet the condition of funding for the academic year 2022/2023?,"For institutions with students who do not meet the condition of funding, the funding will be removed from their allocation for the academic year 2022/2023, and they will receive advance warning of this in their Allocation Calculation Toolkit (ACT).",5,5,5,5,5,5.0
relationship_oneshot_12-if-a-16-to-19-funding-stude-p63-157-0ff01d4d_1752238078_c0ccbd00,relationship,How does obtaining a GCSE grade between 9 to 4 or A* to C impact a 16 to 19 student's eligibility for their study programme funding?,"A 16 to 19-year-old student achieving a GCSE grade between 9 to 4 or A* to C, or an equivalent qualification, fulfills the condition of funding for the duration of their study programme. This achievement ensures they meet the academic requirements necessary for funding eligibility.",5,5,4,5,5,4.8
relationship_oneshot_12-if-a-16-to-19-funding-stude-p63-157-0ff01d4d_1752238089_2a563647,relationship,What consequence do institutions face if students do not meet the condition of funding by achieving a required GCSE score?,"Institutions with students who fail to meet the condition of funding, such as achieving a GCSE score between 9 to 4 or A* to C, will face the removal of funding from their allocation for the 2022/2023 academic year. Additionally, they will receive advanced warning of this action in their Allocation Calculation Toolkit (ACT).",5,4,4,5,5,4.6
comparative_oneshot_12-if-a-16-to-19-funding-stude-p63-157-0ff01d4d_1752238099_b7460d17,comparative,In what ways does the Allocation Calculation Toolkit (ACT) role differ from the condition of funding webpage in managing funding conditions?,"The Allocation Calculation Toolkit (ACT) plays a proactive role by providing institutions with advance warning of potential funding removal due to unmet conditions, enabling them to anticipate and possibly mitigate financial losses. On the other hand, the condition of funding webpage serves as an informational resource, detailing the requirements and tolerance levels for funding conditions, thus offering guidance but not direct intervention.",5,4,4,5,4,4.4
comparative_oneshot_12-if-a-16-to-19-funding-stude-p63-157-0ff01d4d_1752238110_8ac489e5,comparative,What distinguishes the funding implications for institutions with 16 to 19 students who meet versus those who do not meet the condition of funding?,"Institutions with 16 to 19 students who meet the condition of funding by achieving a GCSE grade between 9 to 4 or A* to C, or an equivalent qualification, continue to receive funding without interruption. Conversely, institutions where students fail to meet this condition face funding removal for the academic year 2022/2023. Additionally, those at risk of funding removal are provided with advance warning through the Allocation Calculation Toolkit (ACT), allowing them some preparation and response time.",5,4,4,5,4,4.4
factual_oneshot_120-when-an-institution-or-its-p34-78-8fca3129_1752238160_977a4237,factual,What action must an institution or its subcontractors take with regards to planned hours if a delivery centre closes during the funding year?,"If a delivery centre closes during the funding year, the institution or its subcontractors must remove all planned hours after the closure date from all their data returns unless they have retained the students in a different delivery centre to complete their study programmes.",5,5,5,5,5,5.0
factual_oneshot_120-when-an-institution-or-its-p34-78-8fca3129_1752238161_7cf66f67,factual,What type of document does ESFA expect to be available as part of each student's enrolment process?,"ESFA expects a timetable or learning plan to be available as part of each student's enrolment process, detailing the study programme including all learning aims and activities.",5,5,5,5,5,5.0
