chunk_id,page_number,index,text,word_count
scope-of-this-document-10-this-p11-11-c0642fcd,11,11,"Scope of this document 10. This sets out our guidance that applies to institutions delivering ESFA young people's funded provision for the funding year 1 August 2021 to 31 July 2022. This document sets out ESFA funding conditions for provision to students who meet both the student eligibility requirements in section 3 and one of the following criteria: 11. a. are aged 16 to 19 funding, or b. are aged 19 to 24 and have an Education Health and Care (EHC) plan, or c. are aged 14 to 16 provision and meet the funding criteria set out in paragraphs 48 to 55 and in the Funding rates and formula 12. At the time of publication, all the web links in this document were correct.",124
2-principles-and-conditions-of-p12-12-5bb11bad,12,12,"Principles and conditions of funding Principles of funding learning 13. Institutions must: a. only record as funded those students assessed as eligible for ESFA funding under Section 3 of this document b. not record as funded those students who are enrolled on study programmes funded by ESFA at other institutions c. avoid duplication of provision or multiple funding for the same provision within a student's study programme d. avoid recording ESFA funding for any part of a student's study programme that duplicates that received from another source, for example, other ESFA programme funding, Office for Students (Office for Students) higher education funding, or funding from any other source e. ensure when entering the planned hours on data returns that the hours entered are realistic and deliverable to each individual student and that this can be evidenced if necessary to funding auditors, and f. take all reasonable steps to ensure that students can complete their programme once they are enrolled",160
14-we-only-expect-institutions-p12-13-6935b5e3,12,13,"We only expect institutions to discuss with ESFA circumstances that affect groups of students. For circumstances that only affect an individual student, ESFA expects the institution to make funding decisions itself within the spirit of this guidance and record their decisions as audit evidence in accordance with usual student enrolment processes.",52
funding-agreements-and-conditi-p12-14-b216b423,12,14,"Funding agreements and conditions 15. ESFA will enter into grant agreements or contracts for services with individual institutions paid directly by ESFA and with each Local Authority(ies) for their maintained school provision. These funding agreements will set out the funds that ESFA has agreed to pay for the education and training provision for young people expected in return for that funding. These include ESFA conditions in respect of charges to students for their provision. The separate condition of funding that applies to all provision in respect of the delivery of English and mathematics within study programmes is set out in Annex D. To assist institutions in planning to meet the condition of funding, ESFA have issued detailed guidance on the condition of funding. Funding conditions in respect of charges to students 16. ESFA attaches conditions to its young people's funding in accordance with the following guidance by the Secretary of State:",151
a-tuition-fees-cannot-be-charg-p13-15-635b3883,13,15,"a. tuition fees cannot be charged to students aged 16 to 18 in full time or part time education by either Education and Skills Funding Agency funded institutions or their subcontractors. For the purposes of the funding agreement and this document, '18', means under 19 on 31 August in the teaching year when the student commences a study programme b. such students must continue to receive free tuition in any consecutive subsequent year of study on the same study programme as recorded in their learning agreement c. no compulsory enrolment, registration or examination fees can be charged to students aged 16 to 18 in full time or part time education, other than in the following circumstances: i. institutions can apply reasonable conditions of attendance in order to qualify for free examination entry institutions can charge for examinations and resits as follows: • where the required attendance or completion of work has not been achieved • where the student fails without good reason to sit the examination for which the institution has paid • where a student resits an examination resulting from an initial examination failure (unless the repeat period of study is being funded by inclusion in planned hour returns)",200
where-a-student-resits-an-exa-p13-16-9002179e,13,16,"• where a student resits an exam with the aim of achieving marginal improvements in grades (unless the repeat period of study is being funded by inclusion in planned hour returns) • qualifications leading to a General Certificate of Secondary Education grade 4 to 9 or A* to C in English and/or maths where the student has not yet achieved either a grade 4 to 9 or A* to C in these subjects are not treated as resits for this purpose • institutions must ensure that requirements for attendance and coursework are applied reasonably and set out to students from the commencement of their programme. Absences or non-completion of coursework because of illness or other acceptable reasons are not grounds for charging d. institutions may set conditions for, and seek voluntary contributions from, students or their sponsors. Requests for voluntary contributions must make it clear that there is no obligation to contribute, and that students will not be treated differently according to whether they or their sponsors have made any contribution in response to the request",176
e-no-fee-must-be-charged-to-st-p14-17-e313249f,14,17,"e. no fee must be charged to students aged 16 to 18 for instrumental tuition which is part of the syllabus for a prescribed public examination which includes music qualifications on the ESFA list of qualifications approved for funding 14 to 19 (formerly called the Section 96 list) f. no tuition fees can be charged for provision funded by ESFA for students with learning difficulties or disabilities aged 19 to 24 who have an Education Health and Care plan g. institutions may choose to charge students aged 16 to 18 in full time or part time education for other elements of their study programme as set out here. There is no requirement to charge for optional extras. The institution funding the activity is free to determine whether any charge should be made for it and, if so, how much should be charged and to whom:",145
i-where-clothing-or-equipment-p14-18-c4d9837b,14,18,"i. where clothing or equipment is necessary for the student's health or safety, a charge may be made for clothing and equipment that the student retains, but only if the student also has the option of borrowing the clothing or equipment free of charge ii. for the sale of learning materials in bookshops, or similar facilities in institutions, that enables students to secure discounts on books, stationery or similar materials iii. fines for the late return of library books or other disciplinary fines (provided such penalties have been made known in advance); and deposits on lockers, ID cards, keys, library cards or smartcards and equipment that are fully refundable except in cases of damage or theft. Fines and deposits are not fees iv. photocopying and printing, including computer printouts, are not fees as long as they are not course-specific, are optional and there are alternative sources for these services",149
v-the-recreational-use-of-leis-p14-19-6972afad,14,19,"v. the recreational use of leisure and other non-academic facilities where the activity taking place is not a requirement of a course syllabus or not part of a student union membership free entitlement vi. travel, board and lodging and other additional costs, including any tuition costs, associated with field trips and similar activities that may form part of or be outside the requirement of the course syllabus or agreed study programme",71
vii-optional-extra-activities-p14-20-ead3ba13,14,20,"vii. optional extra activities where the activity is taking place outside a required part of an agreed study programme, and charging is at the discretion of the institution that would otherwise meet the cost of provision. Examples of optional extra activities include theatre, cinema or museum visits or other day or residential visits that are not a requirement of course syllabuses",61
evidence-and-record-keeping-17-p15-21-d9b51b4f,15,21,"Evidence and record-keeping 17. Institutions must retain evidence and keep records to support the information given in data returns and to justify the funding the data generates. 18. Where data or evidence is identified as being incorrectly recorded in the data return, the institution must revise their data returns and funding claim accordingly. 19. Institutions must ensure they are fully compliant with the requirements in the General Data Protection Regulation (General Data Protection Regulation) in all parts of their student record systems including all individual records kept for funding audit assurance purposes. 20. In all circumstances, the institution must retain original documents including, for example, attendance records, enrolment records and learning agreements. In considering how long these documents should be retained, all documentation that underpins funding claims or returns must be treated as financial and legal records. Methods and decisions relating to retention must be consistent with the institution's usual rules and methods for financial record retention. 21. Under no circumstances must these documents be retained by subcontractors or at subcontractor premises.",172
22-the-institution-itself-will-p15-22-1d357788,15,22," The institution itself will normally be registered with the awarding body for the core qualification being studied and students must be registered with the awarding body in order to be eligible for ESFA funding. Action on ineligible students 23. When an institution has claimed funding for ineligible students, they must revise their data return to record the students as not eligible for ESFA funding. 24. When an institution intends to deliver provision that is not clearly identifiable within the 4 books that make up Funding guidance for young people, they must contact ESFA and seek written clarification before proceeding and retain for audit purposes any documentary evidence of guidance given.",111
action-on-ineligible-planned-h-p15-23-2f8871df,15,23,"Action on ineligible planned hours 25. When ESFA or its funding auditors find evidence of planned hours being systematically recorded, where the evidence of delivery is not realistic or deliverable, then ESFA will require institutions to reduce the funded planned hours. The amended planned hours will be those that can be clearly evidenced as delivered to each individual student. ESFA will then apply these revised hours to all future lagged funding values.",72
3-student-eligibility-introduc-p16-24-7f545124,16,24,"Student eligibility Introduction 26. This section sets out the rules on student eligibility for ESFA young people's funding, together with guidance on evidencing student eligibility to assist institutions in their enrolment processes. 27. Funding eligibility for young people post-16 is similar to the pre-16 school eligibility rules and students will consistently be either eligible or ineligible for ESFA funding at all institution types.",64
28-most-young-people-legally-r-p16-25-d65286d1,16,25,"Most young people legally residing in England will be eligible for 16 to 19 funding study programme funding and the exceptions to this are set out in paragraphs 71 to 73. The advice in paragraphs 38 to 41 provides further information on the detailed eligibility requirements. To assist our funded institutions in keeping the student eligibility administration burden to a minimum, most students will simply need to confirm on their post-16 enrolment form they have legally lived in the UK for the 3 previous years. For the small number of eligible students who do not meet this test, institutions should take steps to satisfy themselves that the student is legally resident in the UK. To assist institutions and funding auditors further advice on compliance evidence of student eligibility is set out in paragraphs 74 to 83.",137
29-we-have-based-the-three-yea-p16-26-df135766,16,26,"We have based the three year evidential advice on provisions of the Education (Fees and Awards) (England) Regulations 2007 (as amended), which provide the basis for home-fee status for publicly funded Higher Education providers. We expect our funded institutions to make sure students on Level 3 programmes are made aware of the eligibility requirements in these Regulations, as part of their planning for Higher Education studies.",67
european-union-and-european-ec-p16-27-6c536dbb,16,27,European Union and European Economic Area students 30. The United Kingdom (UK) left the European Union (European Union) and free movement between the UK and the European Union has ended. The UK's new points based immigration system applies and treats European Union (other than Irish citizens) and non-European Union citizens equally. Students who are citizens of European Union (or European Economic Area (European Economic Area)) countries (other than Irish citizens) who enter the UK after 31 December 2020 are not automatically eligible for funding and must be able to demonstrate that they are legally resident in the UK to be funded. 31. Students who are citizens of European Union (or European Economic Area) countries or children of Turkish workers who are living in the UK and have started their programme before 31 December 2020 must be treated equally to UK residents. Once enrolled they will be eligible for funding for the full duration of their study programme. All Irish citizens continue to be automatically eligible for funding under immigration concessions agreed with the Irish Government before the UK was a member of the European Union. Those who have already obtained the Home Office pre-settled and settled status will be eligible under paragraph 39 whilst those still completing this process should be assessed under paragraph 40.,164
residency-eligibility-32-the-f-p17-29-16893efd,17,28,"Residency eligibility:  The following paragraphs set out the ESFA funding eligibility criteria for study programmes. Students only need to be eligible under any one point or sub-paragraph of the individual points or sub-paragraphs in paragraphs 38 to 40. All students eligible to start their study programme are eligible for the full duration of their study programme. Paragraphs 67 to 73 explain the main exceptions covering ineligible students for funding purposes. 33. For funding purposes, institutions must establish a student's eligibility at the start of their programme. Institutions must seek advice from their funding body regarding any case where they are having difficulty assessing student eligibility. 34. To be eligible for funding the student must have the legal right to be resident in the United Kingdom at the start of their study programme. A person subject to a Home Office deportation order will ordinarily be ineligible for funding until their situation has been resolved to the satisfaction of the Home Office.",161
35-in-determining-student-elig-p17-30-f18d2e5a,17,29,"In determining student eligibility, institutions must also satisfy themselves that there is a reasonable likelihood that the student will be able to complete their study programme before seeking funding for the student. This should include the practicality of providing a place for a student who may be unable to complete their programme if they are likely to leave the country permanently during their study programme. For the purposes of this paragraph, institutions must assume that all European Economic Area students resident in the UK before 1 January 2022 have the legal right to remain in the UK for the duration of their study programme. Once a student is enrolled, the institution is expected to take all reasonable steps to ensure that the student can complete their programme.",128
36-students-who-are-attending-p17-31-9ca982ce,17,30,"Students who are attending programmes of more than one term's duration, and are eligible for funding at the start of their programme, will usually be eligible for funding for the whole duration of their study programme as well as subsequent funded study programmes studied immediately end-on to their initial funded programme. This includes students studying consecutive study programmes with no break in studies other than normal holiday periods. Similarly, students who are not eligible for funding at the start of their study programme are very unlikely to become eligible for funding during the period of their study programme.",99
definition-of-ordinarily-resid-p18-32-7d85743a,18,31,"Definition of ordinarily resident 37. For funding purposes, ESFA regards as ordinarily resident in a given country any person who habitually, normally and lawfully resides from choice and for a settled purpose in that country. Temporary absences from the relevant area should be ignored. Someone who has not been ordinarily resident because he or she or the person's parent or spouse or civil partner was working temporarily abroad will be treated as if they have been ordinarily resident in the relevant area. Students eligible for funding 38. The following persons will be eligible for funding (these groups correspond to some of the groups in Schedule 1 to the Education (Fees and Awards) (England) Regulations 2007 (as amended): a. a person on the 'relevant date'1 who is 'settled' in the UK, and who has been ordinarily resident in the UK and Islands (that is including the Channel Islands and the Isle of Man) for the 3 years preceding the 'relevant date'. 'Settled' means having either indefinite leave to enter or remain (ILE/Individualised Learner Record), being an Irish citizen or having the right of abode in the UK. Students who are eligible for funding include:",193
i-british-citizens-who-hold-a-p18-33-c4f24b26,18,32,"i. British citizens who hold a United Kingdom of Great Britain and Northern Ireland passport ii. Irish citizens iii. European Union citizens or family members of European Economic Area and Swiss workers (resident in the UK before 1 January 2021) with settled status iv. students who are children of Turkish workers where the Turkish worker has been lawfully employed and resident in the UK before 1 January 2021 v. British Dependent Territory Citizens (now known as British Overseas Territory Citizens) vi. those whose passports have been endorsed to show they have right of abode in the UK vii. those who have a certificate of naturalisation or registration as a British Citizen viii. those with Hong Kong British National (Overseas) (BN(O)) visa who have been given Home Office permission to reside in the UK 1 In the student eligibility paragraphs, the term 'relevant date' refers to 'the first day of the first academic (or teaching) year of the course' and this is defined as: a. 1 September if the academic year starts between 1 August and 31 December",177
aoc-b-1-january-if-the-academi-p19-34-84e5cc9e,19,33,"aoc b. 1 January if the academic year starts between 1 January and 31 March c. 1 April if the academic year starts between 1 April and 30 June d. 1 July if the academic year starts between 1 July and 31 July 39. In addition to the groups outlined above, ESFA will also consider the following groups of students (including those who may not have lived in the UK for the last 3 years) to be eligible for funding: a. people with refugee status (RS) or humanitarian protection (HP) or discretionary leave (DL) or exceptional leave to enter or remain (ELE/ELR), their spouses, civil partners and children b. people with recently settled status (this means those having been granted indefinite leave to enter or remain, right of abode or British citizenship within the 3 years immediately preceding the start of the course) c. people granted pre-settled status following our exit from European Union 40. In addition to the groups above, ESFA will also consider the following groups of students (including those who may not have lived in the UK for the last 3 years), aged up to and including the age of 18, as eligible for funding as follows:",200
a-those-who-are-accompanying-o-p19-35-61dc87ed,19,34,"a. those who are accompanying or joining parents or spouses or civil partners1 who have the right of abode or leave to enter or remain in the UK (or accompanying or joining relevant family members, usually parents, who are UK or Irish citizens), or those who are children of diplomats b. those who are dependants of teachers coming to the UK on a teacher exchange scheme c. those who are residing legally in the UK (including those entering the UK in the last 3 years who are or were not accompanied by their parents) who are British (or Irish) citizens or those whose passports have been endorsed (or as part of move to digital immigration systems, either a Biometric residency permit (BRP), or an equivalent digital status and/or an endorsement letter) to either show they have the right of abode in this country or to show that they have no restrictions on working in the UK d. those who are dependants of adults residing legally in the UK who have been given immigration rights as workers to reside in the UK",181
e-those-who-are-dependants-of-p19-36-7bf71922,19,35,"e. those who are dependants of foreign students where the accompanying parent or legal guardian has a Student visa (the accompanying parent or legal guardian is excluded from our funding as set out in paragraph 71) f. asylum seekers 1 All eligibility references to a spouse should now be read to include a person who has participated in either a formal state-recognised marriage or a state-recognised civil partnership ceremony. g. those having been granted leave under section 67 of the Immigration Act 2016 (the 'Dubs' amendment) h. those having been granted Calais leave to remain i. those who are (including unaccompanied asylum seekers) placed in the care of social services or those in receipt of Section 4 support 41. In addition to considering students in the categories listed in the 3 paragraphs above, the funding body will consider other exceptional circumstances. When an institution believes that a student should be considered for ESFA funding under exceptional circumstances, it must contact ESFA for guidance before claiming funding. European Economic Area, Switzerland and the overseas territories",174
42-for-funding-eligibility-pur-p20-37-51960637,20,36,"For funding eligibility purposes only, we have defined the European Economic Area on 31 December 2020 as including Switzerland, as well as all members of the European Union, Iceland, Liechtenstein, and Norway and each of their overseas territories as listed in annex F. Students who are citizens of certain British Overseas Territories are eligible for funding. Certain European Overseas Territories citizens will also be eligible for funding but only if they moved to the UK before 1 January 2021. Qualifying territories are listed in annex F.",87
no-recourse-to-public-funds-43-p20-38-ee14cd42,20,37,"No recourse to public funds 43. Someone who has 'no recourse to public funds' included in their passport stamp would not be in breach of their immigration conditions if they had access to state-funded education in the UK. 'Public funds' are defined in the immigration rules, and the benefits and services listed do not include education or any education funding. This condition in a passport therefore makes no difference to a student's eligibility, which must be determined under the normal eligibility criteria described in the paragraphs above.",87
age-44-a-16-to-18-year-old-stu-p20-39-c96dba6c,20,38,"Age 44. A 16 to 18-year-old student is a student who is aged 16, 17 or 18 on 31 August 2021. Such students are normally eligible for ESFA young people's funding, subject to the other regulations in this guidance. 45. To maintain eligibility for funding for individual students during a learning programme, a wider definition is used by the funding bodies. A student who was aged 16, 17 or 18 on 31 August at the start of the funding year when they began a learning programme, as recorded on their learning agreement, continues to be funded as a 16 to 18-year-old student. If they become 19 years old during their learning programme such students are funded at 16 to 18 rates to complete their learning programmes.",126
46-a-learning-programme-compri-p21-40-18ba12f1,21,39,"A learning programme comprises all of a student's activities that lead to a set of outcomes agreed with the student as part of their information, advice and guidance (Information, Advice and Guidance) process. A learning programme may be composed of one or more learning aims and may span more than one funding year. A learning programme will generally be centred around learning aims at a single level, with a minority of, if any, learning aims at a different level being used to support the wider needs of the student (for example, a General Certificate of Secondary Education in mathematics may be appropriate for a student studying non-mathematical A levels). An A level subject taken over 2 years is a single learning programme, (as is an AS level and an A level in the same subject) whereas progression from General Certificate of Secondary Education to A levels is 2 separate learning programmes. 47. Students aged 19 to 24 on the 31 August 2021 that have an EHC Plan are eligible for young people's funding by ESFA, subject to the other paragraphs in this guidance. All other students aged 19 and over on 31 August 2021 would not normally be funded at young people's rates.",204
students-under-16-48-there-is-p21-41-a8bfcb38,21,40,"Students under 16 48. There is a single date when young people can legally leave school in England, which is the last Friday in June for those people who have completed year 11. For the purposes of funding, 'under 16' means aged under 16 on 31 August 2021. 49. ESFA advises institutions to involve the school and Local Authority(ies) in discussions when parents seek to enrol a young person of compulsory school age on a full time programme, and that young person has previously been in provision funded by a local authority (a maintained school, alternative provision or 'education otherwise') or in an academy or free school. In most cases, an institution wishing to enrol a student aged under 16 on 31 August 2021 should seek funding from the Local Authority(ies), school or academy if appropriate. 50. ESFA may fund provision for students of compulsory school age within the young people's funding methodology as set out in the following paragraphs.",160
51-groups-of-compulsory-school-p21-42-8f21e80e,21,41,"Groups of compulsory school age students in eligible colleges are funded through the separate funding arrangements for the 14 to 16 provision age group, as described in full in the enrolment of 14 to 16 provision year olds in full time further education guidance. Where a college meets the requirements and has notified ESFA of its intention to recruit 14 to 16 provision year olds direct then funding for all 14 to 16 provision year olds studying below level 3 will be through the separate 14 to 16 provision funding arrangements detailed in the Funding rates and formula. If independent learning providers (ILPs) wish to deliver provision for 14 to 16 provision year olds, they must either register with the Department as an independent school or ensure their provision for this age group is such that they do not meet the definition of an independent school set out in legislation. Guidance is provided in relation to the definition and the process of registration in the departmental advice in respect of the registration of independent schools.",176
52-esfa-funds-children-who-are-p22-43-af3763da,22,42,"ESFA funds children who are currently electively home educated (EHE) who attend general further education (Further Education) and sixth form colleges. EHE children who attend schools and academies are not eligible for ESFA young people's funding. You can find more information in the Funding rates and formula guide. 53. Colleges may claim ESFA young people's funding for children of compulsory school age who have completed their statutory education, have achieved qualifications at least equivalent to a full level 2, and who want to enrol on a level 3 course. Colleges do not need to seek approval from ESFA, as we will count these students for lagged funding purposes. This advice also applies to schools and academies placing students in their sixth forms earlier than usual. 54. In exceptional circumstances, for example, students arriving in the UK for the first time during school year 11, ESFA will consider provision for individual students of compulsory school age to be eligible for ESFA young people's funding in colleges. Groups of students would not be eligible for funding, since by inference such circumstances are unlikely to be exceptional.",185
55-students-who-finish-school-p22-44-819f8a64,22,43,Students who finish school in the early summer each year are funded and counted for government purposes as part of the year 11 group (including those enrolled after the school leaving date of the last Friday in June) in academies and secondary schools. Short programmes for year 11 students in June and July will therefore not be funded and will not be counted when calculating lagged student numbers for future funding allocations. Institutions are free to offer taster or induction programmes to students but they should not be included in Individualised Learner Record or school census data returns for the same funding year that students complete their year 11 (or earlier year) studies. Similarly for students starting study programmes in the summer term we will not recognise for all funding purposes students who have already completed full time 16 to 19 funding study programmes at other funded institutions earlier in the funding year. Students enrolled in schools,158
56-esfa-will-not-fund-further-p22-45-a5ba27bf,22,44,"ESFA will not fund Further Education institutions directly for students who are enrolled full time in any school and who wish to follow part of their programme at a Further Education institution during school hours. In such circumstances, whatever the age of the student, this provision should be treated as collaborative or link provision, and the school is expected to meet the costs of this provision.",67
groups-of-students-normal-recr-p23-46-381b664d,23,45,"Groups of students Normal recruitment area of institutions 57. ESFA public funding is intended to fund education and training for young people resident within England before starting their individual programmes. Institutions therefore must not recruit entire groups of students from outside their local area without explicit permission from ESFA. Distance subcontracting arrangements must comply with the guidance in the subcontracting control regulations. ESFA reminds institutions not to jeopardize the reputation of either themselves or the funding agency in terms of safeguarding public funds in their general student recruitment policy and practice. 58. ESFA will usually regard an institution's normal recruitment area as the area in which the institution is physically situated, taking into account students normal travel to learn patterns. This may include parts of Scotland or Wales where an institution is situated close to the border and this is explained in more detail in the paragraphs below.",148
59-this-definition-may-be-vari-p23-47-0b6759fe,23,46,"This definition may be varied more tightly or loosely by the funding body, depending on the institution location. If an institution has any doubt about the definition of their normal recruitment area, they must contact ESFA for clarification in the usual way.",43
60-we-recognise-the-benefits-o-p23-48-a57c6da7,23,47," We recognise the benefits of exchange programmes for young people but we only recognise the term 'exchange students' where our funded institutions can show a matching number of UK students going overseas to attend a part of their study programme that is funded by the foreign government that our student attends. To qualify as a self-funded exchange, if the foreign student (particularly those from inside the European Economic Area area) are being recorded for ESFA 16 to 19 funding funding purposes on our funded institutions funded data return to ESFA (either Individualised Learner Record or school census) then we need to see a matching deduction in the cost being claimed for a home student attendance on their study programme. We allow institutions to work together to demonstrate this but in claiming funding for a foreign student the funded institution (usually a college/school/academy) must be able to show a student at another institution that no longer needs an equivalent amount of funding.",162
students-from-wales-scotland-o-p23-49-6982094d,23,48,"Students from Wales, Scotland or Northern Ireland 61. Wales, Scotland and Northern Ireland have their own funding arrangements. There may be exceptional circumstances where, on occasion, individual Scottish or Welsh students wish to travel to or reside in England to study when specialist provision is not offered locally. For institutions close to the borders some local areas within Wales and Scotland will form part of their normal recruitment area. 62. Students of all nationalities who are dependants of serving members of the British Armed Forces and studying in England must be considered eligible for funding throughout their period of service on the same basis as other young people legally living in England where they attend funded institutions.",117
higher-education-students-63-e-p24-50-6b608d1a,24,49,"Higher education students 63. ESFA does not fund Further Education qualifications or other programmes for groups of higher education (Higher Education) students. If, in order to gain their Higher Education qualifications, a group of students requires, for example, key skills, additional tuition in mathematics or sports coaching awards, then this would normally be funded out of the resources provided for the Higher Education programme. Enrolment at more than one Education and Skills Funding Agency funded institution 64. While ESFA recognises that students may occasionally enrol at more than one institution, groups of students enrolled on a full time programme at one institution (whether that institution is publicly funded or not) must not be enrolled for funding purposes on part time programmes with other institutions, including through subcontracted provision. For example, it is not appropriate for a student enrolled on a full time sports and leisure programme to be enrolled at another institution to undertake a first aid or sports coaching qualification.",161
parents-to-be-65-students-who-p24-51-fec79438,24,50,"Parents-to-be 65. Students who are expecting to be unavoidably absent from learning for a period of time, such as for maternity or paternity leave, should not be discouraged from entering into a learning agreement. Institutions should ensure that the planned start and end dates for the student's programme, as agreed at the commencement of the programme, reflect the overall planned duration of study.",63
provision-for-offenders-66-ins-p24-52-49942d7d,24,51,"Provision for offenders 66. Institutions delivering agreed Education and Skills Funding Agency funded programmes to students detained in English prisons or young offenders institutions may treat detainees as students eligible for ESFA young people's funding without the need to refer to the residency eligibility advice. This concession only applies to students detained in prison and not to students serving community sentences, those under supervision in the community or those detained in immigration centres.",73
